# altitude (m)  wind direction (°)  wind speed (m/s)    direction std deviation (°)
0               0                   5                   5
914             0                   2.5                 5
1829            0                   0                   10
2743            310                 3                   10
3658            330                 3                   10
5486            340                 3                   10
7315            260                 9                   10
9144            250                 15                  10
10363           240                 15                  10
11887           250                 15                  10
13716           260                 14                  10
16154           260                 10                  10
